i,tau,E
495,inf,1.2168
496,inf,1.21863
497,inf,1.21893
498,inf,1.21906
499,inf,1.22011
500,inf,1.22028
501,inf,1.22131
502,inf,1.22253
503,inf,1.22313
504,inf,1.22356
505,inf,1.22504
506,inf,1.22506
507,inf,1.22517
508,inf,1.22549
509,inf,1.22626
510,inf,1.22671
511,inf,1.22698
512,inf,1.22738
513,inf,1.22786
514,inf,1.22879
515,inf,1.23157
516,inf,1.23177
517,inf,1.23197
518,inf,1.23316
519,inf,1.23394
520,inf,1.23396
521,inf,1.23623
522,inf,1.23776
523,inf,1.23802
524,inf,1.23873
525,inf,1.23874
526,inf,1.23943
527,inf,1.24006
528,inf,1.24047
529,inf,1.24087
530,inf,1.24094
531,inf,1.2415
532,inf,1.2424
533,inf,1.24247
534,inf,1.24356
535,inf,1.24534
536,inf,1.24722
537,inf,1.24845
538,inf,1.24981
539,inf,1.25026
540,inf,1.25078
541,inf,1.25246
542,inf,1.25483
543,inf,1.25549
544,inf,1.25592
545,inf,1.25634
546,inf,1.25691
547,inf,1.25747
548,inf,1.26021
549,inf,1.26048
550,inf,1.26169
551,inf,1.26267
552,inf,1.26328
553,inf,1.26454
554,inf,1.26814
555,inf,1.26864
556,inf,1.26891
557,inf,1.27036
558,inf,1.27088
559,inf,1.27104
560,inf,1.27134
561,inf,1.27311
562,inf,1.27368
563,inf,1.27447
564,inf,1.27449
565,inf,1.27655
566,inf,1.27734
567,inf,1.27795
568,inf,1.27972
569,inf,1.27993
570,inf,1.28005
571,inf,1.28071
572,inf,1.2808
573,inf,1.28209
574,inf,1.28294
575,inf,1.283
576,inf,1.28471
577,inf,1.28704
578,inf,1.28814
579,inf,1.28879
580,inf,1.28902
581,inf,1.28918
582,inf,1.28944
583,inf,1.29102
584,inf,1.29162
585,inf,1.29353
586,inf,1.29356
587,inf,1.29406
588,inf,1.29503
589,inf,1.29659
590,inf,1.29704
591,inf,1.29826
592,inf,1.29844
593,inf,1.30109
594,inf,1.30244
595,inf,1.30668
596,inf,1.30705
597,inf,1.30953
598,inf,1.30996
599,inf,1.31064
600,inf,1.31072
601,inf,1.31124
602,inf,1.31329
603,inf,1.31382
604,inf,1.31432
605,inf,1.31526
606,inf,1.31528
607,inf,1.31533
608,inf,1.31549
609,inf,1.31597
610,inf,1.31641
611,inf,1.31707
612,inf,1.31825
613,inf,1.31836
614,inf,1.31888
615,inf,1.31912
616,inf,1.31986
617,inf,1.31988
618,inf,1.32056
619,inf,1.32094
620,inf,1.32504
621,inf,1.32977
622,inf,1.33029
623,inf,1.33117
624,inf,1.33156
625,inf,1.33229
626,inf,1.33265
627,inf,1.33323
628,inf,1.33431
629,inf,1.33449
630,inf,1.33563
631,inf,1.33667
632,inf,1.33779
633,inf,1.33865
634,inf,1.33872
635,inf,1.33912
636,inf,1.34026
637,inf,1.34098
638,inf,1.34252
639,inf,1.34279
640,inf,1.34545
641,inf,1.34652
642,inf,1.34859
643,inf,1.34871
644,inf,1.34939
645,inf,1.34957
646,inf,1.35066
647,inf,1.35069
648,inf,1.35242
649,inf,1.35245
650,inf,1.35303
651,inf,1.35323
652,inf,1.35351
653,inf,1.35435
654,inf,1.35573
655,inf,1.35679
656,inf,1.35728
657,inf,1.3582
658,inf,1.35875
659,inf,1.35917
660,inf,1.36111
661,inf,1.36169
662,inf,1.36178
663,inf,1.36182
664,inf,1.36255
665,inf,1.36263
666,inf,1.36298
667,inf,1.36324
668,inf,1.36362
669,inf,1.36401
670,inf,1.36453
671,inf,1.36496
672,inf,1.36516
673,inf,1.36915
674,inf,1.3718
675,inf,1.3723
676,inf,1.37294
677,inf,1.37374
678,inf,1.37375
679,inf,1.3748
680,inf,1.37489
681,inf,1.37665
682,inf,1.3773
683,inf,1.3775
684,inf,1.3776
685,inf,1.37818
686,inf,1.3782
687,inf,1.37832
688,inf,1.37846
689,inf,1.38025
690,inf,1.38125
691,inf,1.38422
692,inf,1.3845
693,inf,1.38497
694,inf,1.38606
695,inf,1.38699
696,inf,1.38762
697,inf,1.3879
698,inf,1.388
699,inf,1.38841
700,inf,1.38855
701,inf,1.38899
702,inf,1.38981
703,inf,1.3908
704,inf,1.39094
705,inf,1.3932
706,inf,1.3933
707,inf,1.39377
708,inf,1.39496
709,inf,1.39518
710,inf,1.39608
711,inf,1.3962
712,inf,1.39916
713,inf,1.40127
714,inf,1.40302
715,inf,1.40311
716,inf,1.40376
717,inf,1.40399
718,inf,1.40428
719,inf,1.40622
720,inf,1.40634
721,inf,1.40706
722,inf,1.40708
723,inf,1.40728
724,inf,1.40971
725,inf,1.41084
726,inf,1.41275
727,inf,1.41326
728,inf,1.41329
729,inf,1.41438
730,inf,1.41453
731,inf,1.41693
732,inf,1.41806
733,inf,1.41964
734,inf,1.42104
735,inf,1.42337
736,inf,1.42427
737,inf,1.42455
738,inf,1.42478
739,inf,1.42531
740,inf,1.42571
741,inf,1.42591
742,inf,1.42721
743,inf,1.42787
744,inf,1.42912
745,inf,1.4292
746,inf,1.42971
747,inf,1.43016
748,inf,1.43043
749,inf,1.43187
750,inf,1.4319
751,inf,1.43328
752,inf,1.43433
753,inf,1.43595
754,inf,1.43609
755,inf,1.43717
756,inf,1.43896
757,inf,1.43914
758,inf,1.43947
759,inf,1.43993
760,inf,1.44083
761,inf,1.44205
762,inf,1.44318
763,inf,1.44339
764,inf,1.44365
765,inf,1.44578
766,inf,1.44642
767,inf,1.44774
768,inf,1.44853
769,inf,1.44865
770,inf,1.44931
771,inf,1.44969
772,inf,1.4505
773,inf,1.45119
774,inf,1.45165
775,inf,1.45236
776,inf,1.4536
777,inf,1.45493
778,inf,1.45507
779,inf,1.45692
780,inf,1.45778
781,inf,1.45781
782,inf,1.45812
783,inf,1.46005
784,inf,1.4611
785,inf,1.46152
786,inf,1.46179
