i,tau,E
236,0.00228878758985193,3.23002
237,1.2765829633430325e-05,3.24289
238,4.4246976478605964e-05,3.2503
239,12896904445746.62,3.25156
240,7.3643125414242565,3.25288
241,0.002171455316835004,3.25678
242,0.000426917657112556,3.27368
243,1.6950216691980398e-05,3.2797
244,68.62833123698535,3.286
245,0.012753051411845429,3.2898
246,559.5374483743005,3.29714
247,8.831432764828483e-05,3.29867
248,0.0008814129224993344,3.30112
249,0.00030278714439343785,3.31163
250,89078923.92659897,3.31539
251,427083.63463464327,3.3159
252,22694.66544881684,3.32148
253,0.01439946936896344,3.32337
254,6.584358390927708e-05,3.34019
255,1.7770190808697257e-05,3.34458
256,0.002157531152453574,3.35245
257,142.0394017300399,3.35833
258,567118471048.602,3.36035
259,1.5331884897633233e-05,3.36939
260,0.00043150506037992957,3.36977
261,33.60734624340727,3.37256
262,0.00046387487806162734,3.38481
263,0.006861425639717414,3.38495
264,495.0028355793102,3.39319
265,0.00013683942802276942,3.39916
266,374655.3039702359,3.40243
267,0.00016315836159830048,3.40996
268,0.0169136834456347,3.41534
269,123111.75903448532,3.41924
270,8.999121260620991e-05,3.43095
271,2.9099639916248124e-05,3.44251
272,127327220698.073,3.44538
273,0.0016685516840104445,3.44721
274,1.344871465265694e-05,3.4578
275,8.35532117349388,3.45791
276,30.135004821600774,3.46227
277,0.00042843097253199,3.46437
278,0.0004740274251874098,3.4674
279,0.005933475323850884,3.47862
280,437.1325996649151,3.48773
281,264769.6552634235,3.48774
282,0.00038442290199216736,3.49707
283,0.004992662867590127,3.50594
284,0.00010313102438525552,3.50773
285,199753.81208526014,3.5157
286,6.784156725419264e-06,3.51993
287,3.9399121937737095e-05,3.53866
288,33619805087.246048,3.54036
289,0.0019078837247683308,3.54102
290,2.5915300302636926,3.54204
291,7.711675662890166e-06,3.54499
292,0.00046888204135163447,3.54912
293,535.5740289523155,3.555
294,0.0004375711097377323,3.55747
295,3.9750367690901145,3.5648
296,0.006332719078164192,3.57053
297,165414.41820575364,3.57209
298,407.06156321028317,3.58077
299,0.0005271376295123502,3.59199
300,0.0026502333895066137,3.59515
301,0.0002265902887218844,3.60533
302,4.191645540932287e-05,3.6076
303,101800.91018734218,3.61085
304,0.7243919498979214,3.62495
305,0.00029451706608984665,3.62811
306,172053.22707010305,3.62977
307,6.254933133066728e-06,3.63057
308,0.00016087743120033807,3.63388
309,35848048130.04614,3.63406
310,0.00013131468167530016,3.63709
311,4.291287452575088,3.6456
312,0.00047683511558832873,3.64908
313,60666.78943846455,3.65452
314,0.00583202101513075,3.66165
315,2.6174584478471403,3.66557
316,1694.1399698443083,3.66913
317,419.4710012276672,3.67232
318,0.002431768870839457,3.68297
319,0.0008999902673943058,3.68425
320,179433349.48233476,3.69389
321,5.4243256620700644e-05,3.69403
322,0.000259792527662968,3.70241
323,0.23829978693483925,3.70665
324,0.00021679000250180388,3.70762
325,4.043537294405525e-06,3.71508
326,579247.9821216607,3.71656
327,0.0018185559522738563,3.72577
328,0.0003603977096768232,3.73017
329,105647.55504011145,3.73473
330,16707.609748479772,3.73479
331,4415.696972267026,3.73614
332,727643163792.4762,3.73734
333,0.0005735477430397107,3.73918
334,0.005660093958553891,3.75087
335,458.753130242651,3.76236
336,1.096840003948624,3.76562
337,0.0019025537503747857,3.7694
338,0.11209537406623422,3.77097
339,0.0020985412733049253,3.77424
340,3.9677710363650254e-05,3.77923
341,0.00013846248494019182,3.78567
342,0.18494560532684903,3.78713
343,81959.49501920262,3.79725
344,7.879591547801384e-06,3.79827
345,0.000346609532316335,3.79854
346,1.8428804310608815,3.81178
347,4471.115817517759,3.8165
348,0.0017948852102115439,3.81667
349,105665566038.69272,3.81761
350,0.000889283788909252,3.8223
351,0.0007579842335693253,3.82778
352,57378479.498951726,3.83809
353,0.006745382304883641,3.83862
354,539.1457353989318,3.85091
355,0.002104244260673779,3.85392
356,0.0011311919554770893,3.85443
357,2.4399765762248684,3.85631
358,0.0016837252392110655,3.86206
359,0.00014010075849533557,3.86261
360,5.944986811366225e-05,3.8632
361,0.011948858883976581,3.86345
362,0.07304052801983006,3.8664
363,0.2871937732798378,3.87292
364,5.077827064733786e-06,3.88016
365,758130.837642273,3.88848
366,0.0003395248229667049,3.89346
367,137054.33020749962,3.89563
368,0.002062814413496341,3.90655
369,4788754.6897686105,3.90746
370,0.2380159442420965,3.90994
371,0.001302946980332269,3.91286
372,0.0010752835851041516,3.91488
373,0.009722645349778422,3.92491
