i,tau,E
178,57822.49955077066,1.70229
179,53402.79863049004,1.7068
180,1036780.6838254262,1.7068
181,17376.101596275414,1.71678
182,5538.770186865598,1.71722
183,52151.77405623051,1.72305
184,2745.836724517306,1.72312
185,1661.1125192821942,1.72711
186,10806.016902780133,1.72972
187,2676.398036435948,1.73365
188,68956.31458641849,1.73522
189,76291.80565391689,1.73742
190,7484.100897673748,1.73844
191,19353.860943670144,1.73899
192,963423.1431546726,1.73974
193,1720340.2031846237,1.73974
194,13431.041614868458,1.74353
195,1286.9650665348308,1.7463
196,1926.4223696766658,1.74767
197,87677.87330012677,1.74882
198,1520.3836435656433,1.75264
199,54850.33390030833,1.75957
200,11695.860701396961,1.76063
201,896.2243365997274,1.76243
202,1057739.8790415507,1.76567
203,184559.62111434064,1.76603
204,62789.495061178095,1.76603
205,60330.77699988115,1.77119
206,66575.05454729486,1.78685
207,124037.82078166133,1.78967
208,153218.7626223251,1.78967
209,79856.89317506581,1.79415
210,209014.85453547005,1.79416
211,28295.595178649513,1.80949
212,27314.329438387645,1.8095
213,145059.4997052758,1.814
214,228015.23669550862,1.814
215,299.21332769827285,1.81956
216,23540.59417826209,1.82327
217,8300.303931748771,1.82574
218,79200.42618744248,1.83019
219,175042.7096780021,1.83038
220,121121.29268172338,1.83253
221,24491.070351249142,1.83268
222,3886.8000604764015,1.83371
223,52504.27163982538,1.83538
224,5252.746887069378,1.84035
225,877.7709411139991,1.8425
226,27506.220599876076,1.84519
227,376210.885593226,1.84529
228,960146.9289286952,1.84529
229,92300.6770738395,1.84583
230,5178.875667606337,1.85094
231,141254.64732427755,1.85213
232,20875.851669211617,1.85335
233,13066.172454230456,1.85516
234,6150.366237415019,1.85589
235,113250.02204687009,1.85849
236,4664.734460863489,1.86086
237,270851.2143737776,1.86462
238,4832.879643759618,1.86852
239,6592.562028199455,1.86874
240,309979.3985275751,1.87139
241,230957.84190919358,1.87182
242,554733.6818792818,1.87207
243,564268.8104575338,1.87208
244,7466.166247729591,1.88138
245,130236.14740740453,1.88237
246,364699.66792921093,1.89592
247,114213.63210160652,1.89592
248,259762.4406290163,1.89758
249,643139.6055089899,1.9
250,1583630.2564844491,1.9
251,78579.3819445996,1.91549
252,54258.862958824204,1.91552
253,51823.19309097374,1.92011
254,71112.41965010224,1.92011
255,5399665.150357664,1.92051
256,5925671.464744051,1.92051
257,631.3390009277819,1.92252
258,4597.600490210457,1.92837
259,38864.03477426468,1.93068
260,42151.748084913525,1.93602
