i,f,tau_if
14,32,3.0756735273997636e+19
14,33,1.1306667310099653e+20
14,34,6.356204808651066e+19
14,35,1.0351300447275133e+20
14,36,1.7993897422320832e+20
14,37,1.8263064663647322e+21
14,38,1.8651074188360134e+17
14,39,1.1085407281992212e+19
14,40,2.512741971746614e+20
14,41,1.1696317101360817e+18
14,42,7.325590202576243e+20
14,43,5.839143448945751e+22
14,44,1.7441527690101866e+19
14,45,1.5411966004110282e+20
14,46,1.6989029519634205e+17
14,47,3331036182923545.5
15,0,183002798.82241312
15,1,9319728601.945581
15,2,694875026807.8185
15,3,1032428868326.6398
15,4,359003008485.43726
15,5,764770805084.3003
15,6,32881495945849.637
15,7,28796473654490.844
15,8,1088004668391.763
15,9,660360936838.1986
15,10,5649361428096.826
15,11,6574444511661.281
15,12,431210841584723.5
15,13,71687920200547.8
15,14,21812655322030.043
15,16,347180652615034.7
15,17,1.5533881216764902e+17
15,18,3.0619975162440844e+16
15,19,3.256386657491866e+24
15,20,8.881566973015453e+17
15,21,7814647414515682.0
15,22,1.0558614894816892e+16
15,23,1.4589526223195706e+16
15,24,1.764506053915643e+17
15,25,1.044266283117539e+17
15,26,9.263326381279551e+23
15,27,3.520255776566252e+21
15,28,6.197532035266972e+22
15,29,1.7498527650993584e+19
15,30,1.3716205911365217e+20
15,31,9.369399085938392e+25
15,32,4.75065756438041e+20
15,33,9.301916883586793e+22
15,34,5.221494225273176e+22
15,35,5.543337116767333e+18
15,36,3.274104971393648e+19
15,37,1.3092185165591367e+20
15,38,3.531413466029005e+16
15,40,16500288755.053215
15,41,1280180249379112.5
15,42,183197156780126.75
15,43,11624798019134.418
15,44,6.235915007259912e+16
15,45,229205345068647.0
15,46,461595273264401.7
15,47,8849557522123.895
16,0,1405440808001051.0
16,1,1.346815686550808e+16
16,2,3.4919996797736524e+16
16,3,3.295272240508075e+17
16,4,1.7957514533767424e+16
16,5,1.6584668172187758e+16
16,6,1.8514633585857306e+17
16,7,9.665514093869545e+18
16,8,8317025751699.2
16,9,1802923771200.8328
16,10,617835551651.3302
16,11,425291471778875.9
16,12,2167353480.3676763
16,13,6177515380.638442
16,14,3504151191.7952585
16,15,15415134273.93472
16,17,7.96189117189881e+17
16,18,3.610426428429168e+17
16,19,1.6190011499833248e+19
16,20,8321084627011952.0
16,21,2.3988824009219597e+17
16,22,2.545809139997327e+17
16,23,690370683601719.9
16,24,2.0840109998037847e+18
16,25,1.4100430457285489e+18
16,26,1.065791525837066e+22
16,27,1.750773934832938e+21
16,28,1.940313810089777e+24
16,29,2.9815608804346552e+19
16,30,6.364902257487839e+20
16,31,1.6452017577683763e+22
16,32,5.5978810062402945e+20
16,33,1.111156034912326e+19
16,34,1.3239920182804605e+22
